GeneSymbol,log2FC_db_dw,pvalue,alias,Entrez
PTCHD1,1.2826488,1.36E-04,RGD1564527,317517
ARPC5,0.51324344,1.36E-04,,360854
FAM136A,-0.5223806,1.39E-04,RGD1304825,297415
CYP2S1,-1.3139243,1.41E-04,,308445
PNPO,-0.6106862,1.41E-04,,64533
MVK,-0.59577304,1.42E-04,Lrbp,81727
IMPDH2,0.5349753,1.44E-04,IMPD,301005
SOGA3,-0.4308755,1.45E-04,Kiaa0408|RGD1307525|Rgd1,292199
CHRNA3,-1.1553017,1.46E-04,,25101
TRPV2,-0.7396124,1.49E-04,Vrl1,29465
B4GALT7,-0.6417235,1.52E-04,,364675
ZFP467,-0.6218755,1.52E-04,Znf467,500110
GPSM2,0.4762065,1.52E-04,RGD1560967,362021
TBKBP1,0.5302589,1.55E-04,Prosapip2,266764
ICK,-0.6124105,1.57E-04,,84411
NAB1,0.438405,1.61E-04,,64824
SLC18A2,0.5498699,1.62E-04,MNAT|VMAT-2|VMAT2,25549
PAPOLA,0.44860807,1.63E-04,,314417
RALYL,-0.802912,1.65E-04,RGD1305844,294883
ZFAT,0.6622704,1.66E-04,Zfat1|Zfp406,362925
TGFBR2,1.289802,1.66E-04,TGF-beta,81810
POLR1C,0.42630336,1.67E-04,Ac2-127|Rpo1-1,301246
PTER,1.0322663,1.69E-04,Rpr-1|Rpr1,63852
CDYL2,0.95827675,1.69E-04,,292044
AKAP7,-0.7377203,1.69E-04,AKAP-18|AKAP18d|Akap15|,361458
EFNB3,-0.5920111,1.69E-04,ELK-L3,360546
GIPC3,1.6110032,1.69E-04,RGD1563255,500789
NOCT,0.5487951,1.74E-04,Ccr4|Ccrn4l|Ccrn4lb,310395
BCAS3,-0.5178273,1.74E-04,RGD1560788,363662
DAZAP1,0.45886728,1.75E-04,,362836
MXI1,-0.47463524,1.76E-04,MXI-WR,25701
HDAC5,0.48885363,1.77E-04,,84580
MC5R,1.6079197,1.77E-04,,25726
POMK,-0.58920217,1.78E-04,RGD1310810|Sgk196,306549
PODXL,-0.6923312,1.78E-04,PC|PCLP-1|podocalyxin,192181
IRF6,1.2191257,1.82E-04,,364081
PECAM1,-1.3774275,1.82E-04,CD31|Pecam,29583
TRPV6,-0.93850434,1.82E-04,CaT1|Ecac2|Otrpc3,114246
RGD1308117,-0.9308683,1.82E-04,,361066
ADAMTS2,-1.2053839,1.84E-04,RGD1565950,287899
TNFRSF12A,1.0359695,1.85E-04,Fn14,302965
ACOT3,-0.62287575,1.85E-04,RGD1564089,314304
MMP17,0.8486851,1.88E-04,,288626
TMEM68,-0.5819448,1.88E-04,RGD1309006,312946
METTL13,0.46811473,1.89E-04,RGD1311526,289159
GALNT16,-0.53217185,1.91E-04,Galntl1,362760
DAB1,0.71107423,1.92E-04,,266729
IL1RAP,0.9475349,2.00E-04,IL-1RAcp|Il1racpb,25466
ETV4,0.7502681,2.00E-04,Pea3,360635
PITX1,1.5863794,2.00E-04,Bft,113983
CLASP2,-0.45628664,2.00E-04,,114514
TADA2B,0.43645033,2.01E-04,ADA2B|RGD1561605,289717
LTBP1,0.91750896,2.01E-04,,59107
DUSP26,-0.6058669,2.02E-04,RGD1310090,306527
ADAMTS7,-0.74705875,2.04E-04,ADAMTS7B|COMPase,315879
FAIM2,-0.72629684,2.05E-04,Lfg|NMP35,246274
CYB5R1,-0.7076814,2.05E-04,Nqo3a2,304805
MEPE,1.3387411,2.06E-04,,79110
PTPN1,0.64497983,2.07E-04,Ptp,24697
TPM4,0.82039404,2.07E-04,Tpm4.2|Tpm4.2cy,24852
RGS2,0.7381537,2.08E-04,,84583
TEX10,0.5948173,2.11E-04,,298065
KCNB1,0.86163217,2.11E-04,DRK1PC|Kcr1-1|Kv2.1|Shab,25736
CBFB,0.6844125,2.12E-04,Pebp2,361391
TP73,1.3698492,2.13E-04,P73|Trp73,362675
STAU1,0.3779561,2.14E-04,Stau,84496
ARL14EP,0.7410797,2.14E-04,ARF7EP|RGD1311463,311279
IGF2,1.5672538,2.17E-04,IGFII|RNIGF2,24483
CDK19,-0.5549146,2.17E-04,Cdc2l6|Cdk11,309804
LRRC59,0.4165463,2.20E-04,,287633
RRS1,0.7456884,2.28E-04,,297784
ANKRD12,-0.6539705,2.30E-04,,316775
LRRC4,0.68762976,2.31E-04,,641521
RAB15,0.59578437,2.36E-04,,299156
PPP2R3A,-0.8871097,2.40E-04,,363122
OS9,-0.4035507,2.40E-04,Os-9,362891
SEMA3E,0.8192995,2.40E-04,,296789
CMAS,-0.65439934,2.42E-04,,312826
OPRD1,1.2956082,2.46E-04,,24613
NLN,0.36868855,2.46E-04,,117041
HSD11B1,1.0060592,2.47E-04,LRRGT00065,25116
MRRF,-0.47376493,2.50E-04,,311903
42803,-0.62812364,2.53E-04,March-IX|Rnf179,679272
LRTM2,-1.2352533,2.57E-04,,680883
LHX2,-0.7194863,2.57E-04,LH2A|Lh-2,296706
GADD45A,0.8438053,2.60E-04,Ddit1|Gadd45,25112
PLCL2,0.49759674,2.67E-04,,301173
UTP15,0.69488347,2.68E-04,RGD1310992,310019
PRUNE,-0.5479131,2.71E-04,,310664
SMOC2,-1.477256,2.71E-04,,292401
YARS,0.430864,2.71E-04,,313047
RRP8,0.6214512,2.71E-04,RGD1308302,308911
ARHGAP31,1.1611425,2.71E-04,Cdgap,288093
DESI1,0.42232907,2.72E-04,DeSI-1|Fam152b|Pppde2|RG,315160
RHEB,0.5235065,2.74E-04,,26954
ASGR1,1.3252411,2.80E-04,ASGR|RATRHL1|RHL1,24210
PFKP,0.4141759,2.84E-04,ATP-PFK|PFK-C|PFK-P,60416
P4HA1,0.66392094,2.85E-04,PHalphaI,64475
ARMC7,-0.6029792,2.85E-04,RGD1310043,287827
SFMBT2,1.2059495,2.86E-04,,307106
OSBPL6,0.9556358,2.87E-04,,311129
USP20,-0.5476291,2.93E-04,,311856
ADAMTS15,-0.94080544,2.93E-04,,300474
CTDP1,0.4451366,2.93E-04,,291414
ZW10,0.4267897,2.94E-04,,363059
AP3S2,-0.52299076,3.01E-04,,683402
CDYL,0.79401857,3.01E-04,,361237
E2F4,0.48663586,3.02E-04,,100360427
NDRG1,0.6972355,3.02E-04,Ndr1,299923
PPM1H,0.7127094,3.03E-04,,314897
NCOR2,0.8484824,3.11E-04,,360801
NFATC1,0.7563985,3.12E-04,,100361818
RGD1311164,-0.46310118,3.15E-04,,297607
SLC6A7,-0.712864,3.28E-04,Prot,117100
NFRKB,0.6441671,3.31E-04,,315523
ABHD6,-0.4444501,3.32E-04,,305795
KCND2,-0.5871494,3.33E-04,Kv4.2|RK5|Shal1,65180
NRSN1,0.46664348,3.35E-04,Vmp,291129
ADD3,-0.5705513,3.37E-04,,25230
CYB561,-0.60420316,3.39E-04,,303601
ELP2,-0.41660187,3.39E-04,Statip1,307545
OSBPL1A,-0.36456922,3.50E-04,,259221
RGD1312005,-0.9231772,3.50E-04,,291580
AMIGO3,0.73918504,3.52E-04,,316003
TEX264,-0.50394505,3.53E-04,,300988
SIRT5,-0.6803784,3.54E-04,,306840
ABCD1,-0.59828013,3.59E-04,RGD1562128,363516
ATP13A3,0.7735666,3.59E-04,,678704
ARFGAP3,-0.45546272,3.60E-04,,503165
RALGDS,-0.51777,3.62E-04,Rgds,29622
ADGRE5,1.0853325,3.64E-04,Cd97,361383
CEBPA,0.7842719,3.67E-04,DBPCEP,24252
ATP5SL,-0.4827523,3.72E-04,,361520
IFT46,-0.6445975,3.72E-04,RGD1307682,300675
YTHDF3,0.40102714,3.86E-04,,361920
ESPNL,1.5138139,3.86E-04,RGD1562432,301606
NIP7,0.4737033,3.90E-04,CGI-37|Nip7p|pEachy,192180
LOC691141,1.0126132,3.96E-04,,691141
BLOC1S6,-0.54068834,4.01E-04,Pldn,317630
LRRC8B,1.0917848,4.03E-04,RGD1563429,305135
ECH1,-0.6108725,4.03E-04,Pxel,64526
KDM1A,0.36938342,4.03E-04,Aof2|Kdm1|RGD1562975,500569
DNASE2B,1.5245335,4.18E-04,Dlad|UOX,59296
CYP11B2,1.5138268,4.25E-04,Cp45as|Cyp11b3|RNCP45AS,24294
SERTM1,0.830482,4.26E-04,,690333
ANAPC2,-0.45406723,4.37E-04,,296558
CAND1,0.57176256,4.39E-04,Tip120|Tip120A,117152
FAM20B,0.37168434,4.45E-04,RGD1311162,304885
TCP11L2,-0.7020828,4.48E-04,RGD1307494,314683
SRC,0.7262243,4.55E-04,,83805
NEBL,0.81218123,4.55E-04,Lasp-2,307189
TMIE,-1.1572524,4.56E-04,RGD1562523,501061
QPCTL,-0.47004032,4.56E-04,RGD1308128,292687
SERPINB7,1.505848,4.56E-04,Megsin,117092
NOC4L,0.5610823,4.58E-04,RGD1310661,360828
HAGH,-0.6924093,4.59E-04,Glo2|RSP29,24439
PCDHA2,-0.5102854,4.59E-04,rCNRv02,393086
TSPAN2,-0.4740401,4.59E-04,Tspan-2,64521
NRIP3,0.5417548,4.59E-04,,361625
DSE,0.5761879,4.59E-04,Sart2,365583
TRMT44,0.69999003,4.66E-04,Mettl19|RGD1308380,305443
PCDHA12,-0.5639758,4.67E-04,rCNRv12,116779
OXTR,1.3693583,4.69E-04,OT-R|OTR|OTR1,25342
ZBTB22,-0.48097795,4.72E-04,Bing1|Zfp297|Znf297,309630
REM2,0.7931316,4.73E-04,,64626
PRRT1,-0.61716336,4.87E-04,DSPD1|Ng5|Orf31,406167
GRHL2,1.4127645,4.90E-04,RGD1561191,299979
RBBP5,0.38272616,4.91E-04,,304794
CLK3,0.43377548,4.91E-04,,171305
AGPAT5,0.37164775,4.95E-04,RGD1306405,306582
PRKX,0.47665304,4.96E-04,,501563
BTAF1,0.86330533,5.02E-04,RGD1564130,368042
PCSK4,-1.0208651,5.09E-04,,171085
MPPED1,-0.6468225,5.10E-04,RGD1308244,362971
RGD1310110,-0.6975931,5.15E-04,,361032
DNAJC25,0.5981939,5.15E-04,,362526
H2AFY2,-0.4295681,5.20E-04,RGD1561371,361844
POLRMT,0.61828196,5.28E-04,,299604
NACAD,-0.5167076,5.31E-04,,289786
PCSK5,0.6855457,5.31E-04,PC6|Pc5,116548
STK17B,0.713867,5.33E-04,Drak2,170904
ZFP36L2,0.57546765,5.41E-04,,298765
RGD1305938,-0.5517365,5.43E-04,,310362
POLH,0.64425135,5.48E-04,,316235
RBM14,0.50478554,5.49E-04,CoAA,170900
PLAGL1,0.6053042,5.49E-04,Lot1|Zac1,25157
MARK3,0.3763424,5.61E-04,,170577
PCMTD2,-0.57118213,5.62E-04,RGD1305684,311726
ZFP362,-0.6280068,5.62E-04,RGD1306498,297879
HCN1,0.86012423,5.63E-04,,84390
GPR21,-0.44384855,5.65E-04,Gpr21,311911
GPR45,-0.5449812,5.67E-04,,301372
DBP,-0.8268259,5.68E-04,,24309
PCDHA6,-0.50182587,5.68E-04,rCNRv06,393088
EMD,0.42466643,5.68E-04,,25437
GPR156,-1.0159905,5.73E-04,Gababl,260430
SLC48A1,-0.3968802,5.78E-04,HRG-1|Hrg1,300191
PRKCZ,-0.5678957,5.87E-04,14-3-3-zetaisoform|Pkcz|r14,25522
FTSJ3,0.51962984,6.00E-04,,303608
NMT2,0.43841127,6.07E-04,,291318
CHRAC1,-0.6103794,6.09E-04,,315058
HSPA2,0.5357155,6.14E-04,Hspt70|Hst70,60460
TMEM86A,-0.7264606,6.16E-04,RGD1305749,308602
SLC40A1,1.4047453,6.16E-04,Fpn1|Slc11a3|Slc39a1,170840
SLC37A4,-0.5257178,6.18E-04,G6pt1,29573
LOC500877,-1.3927882,6.18E-04,,500877
LINGO1,0.6413327,6.21E-04,Lrrn6a,315691
PRMT2,-0.62597674,6.24E-04,Hrmt1l1,499420
SLC28A3,-1.4889654,6.31E-04,Cnt3,140944
CAMK2N1,0.49420154,6.33E-04,,287005
TMTC3,0.5425814,6.33E-04,RGD1306351,314785
TACR2,1.4816157,6.36E-04,Tac2r,25007
CITED4,-1.242663,6.37E-04,MRG-2|Mrg2,114491
PRKRA,-0.56349343,6.37E-04,RAX,311130
ABCB10,-0.54307234,6.38E-04,,361439
SEC24D,0.83843863,6.48E-04,,310843
LEPROT,-0.4193454,6.53E-04,Ob-Rgrp|Obrgrp,56766
PKLR,-0.9121864,6.56E-04,PK1|PKL|Pklg,24651
NOC2L,0.3833833,6.76E-04,RGD1309387,313777
TTLL1,-0.56456447,6.79E-04,,362969
ZNRF2,-0.70722926,6.85E-04,Znrf1,362367
RIT2,-0.5996122,6.87E-04,Rin|Rit1,291713
CALHM2,-1.169739,6.87E-04,Fam26b|RGD1308276,294019
PNMAL2,-0.50676274,6.95E-04,RGD1560435,308393
XPO4,0.72588956,6.95E-04,,290280
PACSIN3,-0.63019615,6.97E-04,SdpIII,311187
SYNGR3,-0.4901226,6.97E-04,,302975
JRK,0.63231033,6.97E-04,,315073
CALCRL,0.9037969,6.98E-04,CLR|Crlr|RATCRLR|RNCLR,25029
CYHR1,-0.8087888,6.99E-04,RGD1561328,100362155
KIF5B,0.42993933,6.99E-04,Khc,117550
NFKBIE,-0.7287623,7.15E-04,Slc35b2,316241
OSBPL2,-0.37741908,7.17E-04,,296461
PLEKHA5,0.5339661,7.17E-04,Pepp2|TRS1,246237
PDE10A,0.9542575,7.17E-04,Pde10a3,63885
STRADA,-0.49474013,7.18E-04,Lyk5,303605
RASAL2,0.9257782,7.19E-04,,304893
BEND7,1.0420662,7.35E-04,RGD1305898,361275
PHC1,0.48105434,7.35E-04,,312690
IGF2BP2,1.0324925,7.49E-04,RGD1305614,303824
TPK1,-0.6448231,7.55E-04,,680668
CHD6,-0.6291748,7.64E-04,CHD-6,311607
CHKA,0.42648286,7.71E-04,CK-R|Chk,29194
TMUB2,-0.3868561,7.73E-04,RGD1304758,303567
DOC2A,-0.58669204,7.80E-04,,65031
USP10,0.53595936,7.80E-04,,307905
CTC1,-0.45218167,7.83E-04,RGD1563106,303238
B3GNT2,-0.6569873,7.84E-04,B3gnt1,305571
CCKAR,-1.4610728,7.84E-04,Cck-ar,24889
OGDHL,-0.44704428,7.85E-04,,290566
NKD1,-0.644302,7.96E-04,,364952
PDE7B,0.7817121,8.00E-04,,140929
PHF20,-0.40930417,8.04E-04,RGD1305020,311575
ZC3H6,-0.8585249,8.05E-04,Zc3h6,103690012
FSD1,-0.5281462,8.13E-04,,301506
P2RY1,-0.8910657,8.19E-04,P2y|P2y1,25265
PURB,0.4570141,8.19E-04,pur-beta,498407
TMCC2,-0.6654097,8.26E-04,RGD1311960,305095
ILVBL,-0.6613915,8.34E-04,,362843
CBFA2T3,0.8064325,8.46E-04,,361431
TWIST1,1.1040758,8.48E-04,Twist,85489
PHLPP1,0.5765138,8.52E-04,Phlpp|Plekhe1|Scop,59265
PWP2,0.4914513,8.54E-04,,690297
SHQ1,0.618061,8.56E-04,RGD1310610,297483
NCALD,-0.3158198,8.67E-04,,553106
TIGAR,0.42375776,8.67E-04,,502894
BYSL,0.44311565,8.71E-04,,359727
MLF1,0.7294841,8.72E-04,,310483
BHLHE23,1.2740167,8.75E-04,Bhlhb4|RGD1559760,499952
VAC14,-0.38587335,8.80E-04,,307842
KCTD6,0.4704236,8.86E-04,,305792
MAD2L2,-0.52181566,8.86E-04,,313702
RNF4,0.43907994,8.86E-04,,29274
TUSC5,1.3077588,8.86E-04,DSPB1,360576
D2HGDH,-0.7407282,9.03E-04,RGD1307976,301624
PPP1R21,-0.44658285,9.11E-04,RGD1565310,362697
PIGW,0.58660764,9.11E-04,,378774
SH3BP1,0.7184306,9.11E-04,,300067
FOPNL,-0.64248985,9.11E-04,RGD1305823,360461
RITA1,-0.6617135,9.16E-04,RGD1306772|Rita,288683
DHX15,0.37572557,9.16E-04,,289693
TXNRD1,0.43897274,9.16E-04,Tr,58819
TRPM4,-0.7388621,9.16E-04,LTrpC-4|Mls2s,171143
WNT7A,-0.44404274,9.17E-04,,114850
SLC24A4,0.65773785,9.17E-04,Nckx4,314396
RBFA,-0.6280929,9.22E-04,RGD1311910,307235
LIPA,-0.48053014,9.24E-04,Chole|Chole2|LAL|Lip1,25055
BACH1,0.8233174,9.38E-04,,304127
APEX2,0.5453076,9.39E-04,,317628
SYT9,-0.6798635,9.45E-04,Sytv,60564
PCSK7,0.42560545,9.45E-04,PC7,29606
DGCR8,0.3542616,9.58E-04,,287954
ATP1A1,0.5371216,9.66E-04,Nkaa1b,24211
KLHL21,0.52049124,9.70E-04,RGD1305863,313743
DMTF1,0.74144053,9.78E-04,,114485
PDK1,0.49384907,9.83E-04,,116551
VLDLR,0.4947575,9.90E-04,,25696
INPP5D,0.9800654,9.92E-04,,54259
COASY,-0.5244441,9.95E-04,,287711
AATK,-0.7821023,9.97E-04,,690853
TFRC,0.6394503,0.001003031,Trfr,64678
IVNS1ABP,0.55952954,0.001011257,,289089
FZD4,0.8261322,0.001014388,,64558
MYOCD,1.4390517,0.001021537,Mycd,246297
P2RX2,-1.0103608,0.001063429,P2X2,114115
WNT3,-1.0721376,0.001075465,INT4,24882
NGLY1,-0.5888386,0.001078654,,361014
DCAF4,-0.5240574,0.001085269,Wdr21,362762
SOX4,-0.666895,0.001087743,,364712
CDH15,-1.0086491,0.00109044,,361432
SHMT2,0.7363225,0.001096925,,299857
NOP9,0.46830082,0.001098523,RGD1308396,290235
DIEXF,0.6520972,0.001115796,Def,305076
XPO1,0.64450747,0.001121369,,85252
CHD1,0.70372075,0.001121369,,308215
OSBPL8,0.42345697,0.001121503,RGD1561474,314824
FRMD3,-0.49199355,0.001123587,,298141
IFT52,-0.48374653,0.001123977,RGD1311004,362265
MMP16,0.7201553,0.001137568,Mt3-mmp,65205
NTF3,-0.91430616,0.001137797,,81737
UGCG,-0.408513,0.001153735,,83626
PPIF,0.4912731,0.001161996,CyP-D|CypD|PPIase,282819
ACAP1,0.87039363,0.001164913,Centb1,287443
LANCL2,-0.40217626,0.001165692,,362375
LOC100302465,1.327915,0.001170263,,100302465
GPR176,-0.6699465,0.001175242,Gm1012|Gpr|RBU-15,117257
BORCS5,-0.97918296,0.00118038,Loh12cr1,362452
TEAD1,1.1423496,0.001182609,TEF-1,361630
TMCC3,0.6989743,0.001187061,RGD1307241,314751
CCDC82,-0.55604905,0.001195598,,300359
KCNH3,-0.70602757,0.001198509,Bec1|Elk2,27150
WSCD2,-1.1164229,0.001199013,Wscd2-ps1,360824
EHD1,-0.48566034,0.001199013,RGD1306960,293692
BNIP3,-0.6796134,0.00120515,,84480
STAMBP,-0.60814065,0.001211643,Amsh,171565
PTPDC1,0.50092864,0.001211643,,291022
ANXA7,0.4737687,0.001220179,,155423
NPY2R,1.174916,0.001229187,,66024
TMEM106C,-0.50079596,0.001229815,RGD1311532,315286
BRINP3,-0.8265199,0.001230632,Fam5c,286901
PDCD6IP,0.46702114,0.001230632,AIP1|Alix|RGD1561176,501083
NUDT18,-0.6500521,0.001234377,RGD1311802,361068
SLC45A3,-1.2641804,0.001236445,RGD1309764,304785
TRAPPC3,-0.42669937,0.001236766,,362599
HARS,0.37955672,0.001241341,Dnd1,307492
SFPQ,0.59208065,0.001242321,,252855
SPRTN,0.60773844,0.001254553,RGD1559496,292101
LRRC16B,-0.5078315,0.001264088,Lrrc16b,361041
RAB9B,-0.56710654,0.001279833,RGD1562951,367915
OLFM4,0.9606124,0.001293636,,290409
NUP93,0.45545802,0.001306387,,291874
ING1,0.40621704,0.001317824,p33ING1b|p33ING1c,306626
KCNK3,0.85008407,0.001321135,Task-1|rTASK,29553
CYSRT1,-1.1947086,0.001322035,RGD1560880,499747
MMP15,0.5081275,0.00132987,,291848
NXF1,0.5484511,0.001358358,Mex67h|Tap,59087
URI1,-0.58499944,0.001370479,RGD1310358,308537
WDSUB1,-0.56799155,0.001376847,,362137
CEP295,0.6915539,0.001376847,RGD1311723,363018
PSTPIP2,0.85054135,0.001378867,RGD1563090,307248
FUCA2,-0.77564716,0.001382232,,292485
SULT2B1,-0.75320095,0.001387261,ST2B1,292915
BCL2L13,0.55887043,0.001388408,,312682
ASAP1,0.8193613,0.001390398,Ddef1,314961
EML5,0.90218073,0.001393962,,444982
RNF6,0.40930188,0.00139603,,304271
SERINC2,0.8296205,0.001399499,Tde2l,313057
NAA25,0.5468156,0.001402575,LRRGT00164|Mdm20|RGD13,360811
AGK,-0.46472198,0.001407379,RGD1562046,502749
TOR1AIP1,0.45769244,0.001441091,Lap1b|Lap1c,246314
ANKRD13D,-0.5459929,0.001462133,RGD1309156,361699
DIRC2,-0.5177993,0.001462133,,303902
HPCAL4,-0.65064806,0.001465978,NVP-2|Nvjp2,50872
NPAP60,0.37747714,0.001465978,Nup50|Rtp60,25497
TNIP1,-0.5493757,0.001474619,,363599
SPAST,-0.37951675,0.001488689,Spg4,362700
BCORL1,-0.75904447,0.001489755,RGD1566108,302810
HMGCR,0.49033245,0.001514448,3H3M,25675
MYLIP,0.5107507,0.001516362,MIR,306825
RNF112,-0.5731631,0.001517352,BFP|Bfb|Zfp179|Znf179,24916
PLA2G4A,1.1080424,0.001519433,Pla2c|Pla2g4|cPLA2,24653
RRAGA,0.5169129,0.00152748,Raga,117044
42796,-0.45689023,0.00153112,MARCH-II|RGD1306395,362849
FAM217B,-0.88913196,0.001552614,RGD1311952,311692
SYT3,-0.7124081,0.00156439,SIII,25731
ZFP672,0.51476556,0.00156439,Znf672,303165
IMPDH1,-0.459075,0.001573219,IMPD,362329
TVP23A,-0.81732684,0.001580614,Fam18a|RGD1566405,360467
KIFAP3,-0.34634274,0.001587511,,289168
RAB27A,-0.86322165,0.001593067,ram,50645
RBM18,0.33643258,0.001593067,,311902
GLUL,0.38647527,0.001595521,Glns,24957
PXN,0.6410701,0.001595521,,360820
DEPDC1B,0.5622565,0.001595577,,310074
CYB561D2,-0.57080746,0.001609138,,363137
RGD1559896,-0.34047088,0.001613119,,498967
CD55,-0.96448857,0.001613967,Daf|Daf1,64036
NDST3,1.1187375,0.001627725,,295430
YPEL3,-0.76707417,0.001634564,RGD1564579,293491
DIS3,0.6484738,0.001654481,RGD1304646,306103
PLXND1,-0.66652536,0.001662025,,312652
AHCYL2,0.5672737,0.001666295,RGD1564895,312192
LSM10,-0.5304686,0.001670468,,366468
ZFP523,-0.43426538,0.001670468,Znf76,361809
BCL11A,-0.89537686,0.001678072,,305589
CLK2,0.4075584,0.001678072,,365842
GLI2,1.040282,0.001678072,,304729
NCBP3,0.48621503,0.001684382,RGD1308139,360563
RAB3GAP2,0.56497294,0.001684382,RGD1311518,289350
ZFP295,0.62897,0.001685243,Znf295,304056
MAP3K7,0.41928765,0.001690861,Tak1,313121
NEUROD4,-1.0769848,0.001694129,,288821
SYT4,0.5085085,0.001725132,,64440
FNDC3A,0.80316854,0.001731631,Fndc3,306022
HTR7,0.8087953,0.001731631,5Ht7,65032
TAF1A,0.46075687,0.001742467,,360893
ZMYND8,-0.4993775,0.001744596,Prkcbp1|spikar,296374
RQCD1,0.35330376,0.001749681,Rqcd1,301513
LDAH,-0.34138876,0.001750941,RGD1311648,313949
CYP39A1,-0.94485986,0.001756238,,301264
ACPP,1.3829361,0.001760973,5'-NT|Acpp11|FRAP|Ppal|RN,56780
AZIN1,0.5310784,0.001783718,Oazi|Oazin,58961
SEMA3C,0.5066261,0.001806473,,296787
CARNMT1,0.6264513,0.001806898,RGD1311863,293871
SLC27A3,-0.43738768,0.001808057,,295219
GOLGA7B,0.6574997,0.001808057,,309378
SIPA1L2,0.5657982,0.00181921,Sersap2|Spar2,361442
APLF,-0.669483,0.001822101,RGD1565557,500247
NFIX,-0.61413676,0.001822101,Nfix,81524
MRPL10,-0.44270423,0.001824196,L10mt|MRP-L10|MRP-L8,691075
ZBTB24,0.49677444,0.001824461,Bif1a|ZNF450,365590
SMARCD3,-0.60978127,0.001829849,,296732
GALK2,-0.5638727,0.001834044,,296117
SMARCA5,0.6474431,0.001834044,,307766
TXNDC11,0.35675973,0.001842396,RGD1307538,302899
TBC1D9,-0.5926496,0.001843215,RGD1308221,304645
TPH1,1.3470098,0.001868024,Tph,24848
PNMA1,-1.1105555,0.001874523,MA1,170636
JAKMIP1,-0.7710171,0.001885091,Marlin-1|Marlin1,305434
ARPP21,0.4453368,0.001891512,Arpp-21|Ppp1r1c|Ppp1r1cl|R,363153
KCNMB2,0.95317215,0.001892463,Kcmb2,294961
MAP2K5,-0.37010694,0.001892602,Mek5,29568
STC2,0.84162474,0.001892602,,63878
NKIRAS2,-0.44531527,0.00191021,,287707
SLC20A1,0.6861232,0.00191021,PiT-1,81826
RNF128,0.62710315,0.001913067,RGD1566282,315911
PCDHA7,-0.47689474,0.00191786,rCNRv07,393089
SPOP,-0.542691,0.00194976,,287643
TRPC1,-0.52421254,0.001959578,Trrp1,89821
MYO19,0.7242043,0.001980904,RGD1559961,497974
FBXO41,-0.82166547,0.001982358,RGD1566130,312504
GALE,-0.53963566,0.001982854,,114860
NAGA,-0.41248217,0.00198457,,315165
KCND1,-0.6402698,0.001986341,Kv4.1,116695
SERPINB8,1.3687408,0.002010378,,288937
ZFP36,0.76764697,0.002015744,Tis11,79426
TBC1D8,-0.4443501,0.00201678,,680133
PDZD8,0.5937467,0.002042684,Pdzk8,308000
ALYREF,0.62773097,0.002062709,Thoc4,690585
EXO1,0.76198125,0.002064636,,305000
FADS6,-0.6694298,0.002069547,RGD1311950,303671
PTP4A3,-0.6268247,0.002074878,,362930
PPEF1,-0.81774217,0.002097266,,317498
NEIL1,-0.71396124,0.002099288,,367090
PIK3R1,-0.64042646,0.002099413,PI3KA,25513
DARS2,-0.48116833,0.002103762,RGD1308286,304919
MED9,-0.56644887,0.002105041,RGD1563669,497914
BRIX1,0.48678407,0.002134174,Bxdc2|RGD1308508,294799
ETNK2,-0.7629403,0.002158593,EKI,360843
ADM,0.98095083,0.002187922,Ap|H39316|RATAP,25026
LOC688452,0.7606615,0.002189862,Spaca6,688452
SENP2,0.5625889,0.002194873,Axam,78973
CHAF1B,0.49415588,0.002200997,,288242
API5,0.39791232,0.002205337,,362170
RUNX1T1,-0.83150077,0.002217144,Cbfa2t1,362489
CARS2,-0.49256566,0.002218968,RGD1311612,361184
SIN3A,-0.43387488,0.002218968,,363067
MBLAC2,-0.6480122,0.002231585,RGD1306703,365627
CAT,-0.39946076,0.002231585,CS1|Cas1|Cat01|Catl|Cs-1,24248
ESR1,1.1407906,0.002235185,ER-alpha|Esr|RNESTROR,24890
DDX51,0.43235165,0.002315611,,304570
SFRP4,1.0897659,0.002315611,,89803
NDRG4,-0.48663014,0.002326731,Bdm1|Ndr4|smap8,64457
INIP,0.49384215,0.002329927,RGD1307983,298032
FSCN3,1.01676,0.002329927,,296947
GRIP2,-0.678192,0.002331911,Abp,171571
IGF1,1.2108998,0.002331911,,24482
XKR4,-0.59722596,0.002337273,XRG4,297801
VAT1,-0.4805402,0.00235633,,287721
ST6GALNAC6,-0.46399876,0.00235633,Siat7F,407765
SLC44A2,-0.44919485,0.00235633,RGD1309680,363024
SLC24A3,0.5326149,0.00235633,Nckx3,85267
ORC1,0.9550075,0.00235633,Orc1l,313479
NDST4,-1.3208786,0.00235929,,362035
RNF219,0.35777017,0.002367857,RGD1564706,361088
MCM4,0.64696366,0.002370721,Mcmd4,29728
PCDHA4,-0.38769412,0.002405588,Cnr1,116741
RIT1,-0.36586645,0.00246091,RGD1559874,499652
RIIAD1,1.0830668,0.002471164,,100270669
ZMYND10,-0.7166203,0.002474723,,363139
MYBBP1A,0.6370758,0.002480002,DBP,60571
GTF3C5,-0.38180616,0.002491373,,362095
ACTL6A,0.40495035,0.002514606,RGD1307747,361925
NKX3-1,1.2755096,0.002515555,,305999
DISP2,-0.6134049,0.002556581,,311324
ARFGAP2,0.383457,0.002566636,Zfp289,362162
NDEL1,0.4134144,0.002567926,NUDE2|Nudel,170845
